Skill,Description
Python,"Programming language used for AI, ML, data analysis and automation"
SQL,"Language used to manage and query relational databases"
Excel,"Spreadsheet tool used for data analysis, reporting and visualization"
Tableau,"Data visualization tool used to create dashboards"
Java,"Object-oriented programming language used for backend development"
Spring,"Java framework used for building backend applications"
JavaScript,"Programming language used for web development"
React,"Frontend library used to build interactive user interfaces"
Node.js,"JavaScript runtime used for backend development"
MongoDB,"NoSQL database used to store unstructured data"
AWS,"Cloud computing platform used for hosting and services"
Docker,"Tool used for containerization of applications"
Kubernetes,"Platform used to manage containerized applications"
Linux,"Operating system widely used in servers and DevOps"
Power BI,"Business intelligence tool for data visualization and reports"
TensorFlow,"Machine learning framework used for building AI models"
Pandas,"Python library used for data manipulation and analysis"
NumPy,"Python library used for numerical computations"
Communication,"Soft skill required for teamwork and effective communication"
HTML,"Markup language used to structure web pages"
CSS,"Style sheet language used to design web pages"
Git,"Version control system used to manage code changes"
CI/CD,"Process used for continuous integration and deployment"
Networking,"Concept of connecting computers and communication systems"
Firewalls,"Security system used to protect networks from threats"
Ethical Hacking,"Practice of testing systems for security vulnerabilities"
Spark,"Big data processing framework"
ETL,"Process of extracting transforming and loading data"
Kotlin,"Programming language used for Android development"
Android Studio,"IDE used for Android app development"
Scikit-learn,"Python library used for machine learning"
Manual Testing,"Software testing process done without automation"
Selenium,"Automation tool used for testing web applications"
Bugzilla,"Bug tracking tool used in software testing"
MySQL,"Relational database management system"
Performance Tuning,"Process of optimizing system or database performance"
Backup & Recovery,"Techniques to protect and restore data"
Figma,"Tool used for UI/UX design"
Adobe XD,"Tool used for designing user interfaces and prototypes"
Design Thinking,"Problem-solving approach focused on user needs"
C,"Programming language used for system-level development"
C++,"Extension of C used for object-oriented programming"
C#,"Programming language used in .NET framework"
.NET,"Framework by Microsoft used to build web, desktop, and enterprise applications using C#"
REST API,"Architecture style used for building web services and communication between frontend and backend"
OOP,"Programming paradigm based on objects and classes used in languages like Java and C++"
DSA,"Concepts used to organize and process data efficiently for problem solving and coding interviews"
Debugging,"Process of identifying and fixing errors in code"
Problem Solving,"Ability to analyze problems and develop efficient logical solutions"
